id,text,vague,type
1,yeah there is around twenty,1,prop
2,i think it was something like two or three,1,prop
3,about one hundred,1,prop
4,approximately six,1,prop
5,thirty four or so,1,prop
6,five or six,1,prop
7,i was thinking we should get seven,1,prop
8,hey what do you think about seventy,1,prop
9,one or two should do it,1,prop
10,don't worry there are only like six,1,prop
11,i was wondering if we should have like nine stages or so,1,prop
12,wow didn't think there would be a thousand or so,1,prop
13,there is approximately two hundred or them,1,prop
14,there are thousands of them,1,prop
15,there are about sixty cars in the car park,1,prop
16,i think the club has like a hundred people in it,1,prop
17,she has redone the piece around thirty times,1,prop
18,i think theres a thousand cards or so that they own,1,prop
19,i wonder if the twenty or so people here know what they're doing,1,prop
20,i think it he had ten or so siblings it's crazy,1,prop
21,i think the twenty five odd groups have what it takes,1,prop
22,i am approximately eighty percent sure that's what he said,1,prop
23,you know the only reason i joined is because of the forty or so movies you can only get on that service,1,prop
24,you know i reckon he only has ten or so pounds in his account,1,prop
25,yeah she was only like twenty minutes late,1,prop
26,i have only owned around five cars my whole life,1,prop
27,"well you know how it is, the man has only had two or three jobs his entire life",1,prop
28,why are there only like six colours that it comes in,1,prop
29,why is there like five birds by our back door?,1,prop
30,"i'm not sure, i think we're meeting at around eleven",1,prop
31,why do i have to do like ten things all by myself,1,prop
32,you know i think it was when i was like twenty two that i first met him,1,prop
33,one or two of them were responsible,1,prop
34,"maybe six, i am not sure",1,prop
35,"yes it is very busy there are like a thousand people going, it is going to be exciting",1,prop
36,i have no idea what or how many may be seven or eight,1,prop
37,well you could be like in the top five hundred in the world,1,prop
38,"why are there so many colours to choose from, you only need like two or three for these kind of things",1,prop
39,why are there only like two phone types to choose from and why do they not have headphone jacks,1,prop
40,wow there is like a million people in that city,1,prop
41,i wonder if there are still a dozen or so pubs down in that area,1,prop
42,what did you say? there were only fifty or so?,1,prop
43,like half a dozen,1,prop
44,it happened like a century ago ,1,prop
45,like two decades later he decided to do it,1,prop
46,i think it was about five years ago,1,prop
47,forty or so,1,prop
48,something in the ballpark of fifty runs,1,prop
49,he was thirty ish years old,1,prop
50,you will learn spanish after living a year or so in the country,1,prop
51,i think we will see him next in about two years or so,1,prop
52,she was approximately eight,1,prop
53,he has been living in the house for like a decade,1,prop
54,i think the course took him a few years,1,prop
55,i want to say it was approximately five or six pages i had to do by the end of the day,1,prop
56,so there i was and to be honest i think i was only a few minutes away from being caught,1,prop
57,one too many or two or three,1,prop
58,maybe there is a couple more in the cupboard,1,prop
59,if i had to guess maybe seven,1,prop
60,i wonder if there are still the four or five hoodies still messing around out there,1,prop
61,in a few days i will be heading out,1,prop
62,it only took like a hundred attempts,1,prop
63,twenty or so i think,1,prop
64,"one or two i think, not many",1,prop
65,maybe it was the same ten or so people out doing it,1,prop
66,i think i am going to go in an hour or so,1,prop
67,there are only like twelve types that i can see there if i am honest,1,prop
68,"hey wait a minute i thought there were only like six of them, now this seems unfair ",1,prop
69,i was not supposed to tell you this but he has only ever accepted like twenty people ever so i would not get your hopes up,1,prop
70,"now there are only a few things i would change about this, the rest is fine",1,prop
71,"i wonder if he is still doing that after all this time, you know it was maybe a decade ago that he started it",1,prop
72,"maybe she can sort you out another couple of pairs, maybe more",1,prop
